 ========================================================================
 Mesh information:
 Nx =                    3     -    Ny =                     3
  
 Slab dimensions:
 X(m) =    1.0000000000000000          -    Y(m) =   0.20000000000000001     
                                                                         
                                                                         
 ========================================================================
 Npos =  1
      Time(s)        X(m)        Y(m)     Temp(K)  Cp(J/kg.K) K(W/sq-m.K)
    6780.0000      1.0000      0.2000   1513.3134    703.0000     55.7074
    6980.0000      1.0000      0.2000   1513.8652    703.0000     55.7448
    7180.0000      1.0000      0.2000   1514.3126    703.0000     55.7752
    7380.0000      1.0000      0.2000   1514.6763    703.0000     55.7999
    7580.0000      1.0000      0.2000   1514.9727    703.0000     55.8201
    7780.0000      1.0000      0.2000   1515.2146    703.0000     55.8365
    7980.0000      1.0000      0.2000   1515.4125    703.0000     55.8500
    8180.0000      1.0000      0.2000   1515.5745    703.0000     55.8610
    8380.0000      1.0000      0.2000   1515.7075    703.0000     55.8701
    8400.0000      1.0000      0.2000   1515.7205    703.0000     55.8710
    8600.0000      1.0000      0.2000   1484.6393    703.0000     53.8049
    8800.0000      1.0000      0.2000   1466.4115    703.0000     52.6414
    9000.0000      1.0000      0.2000   1454.7827    703.0000     51.9186
    9200.0000      1.0000      0.2000   1446.8159    703.0000     51.4323
    9400.0000      1.0000      0.2000   1441.0502    703.0000     51.0851
    9600.0000      1.0000      0.2000   1436.7114    703.0000     50.8264
    9800.0000      1.0000      0.2000   1433.3590    703.0000     50.6280
   10000.0000      1.0000      0.2000   1430.7236    703.0000     50.4730
   10200.0000      1.0000      0.2000   1428.6281    703.0000     50.3504
   10400.0000      1.0000      0.2000   1426.9494    703.0000     50.2525
   10600.0000      1.0000      0.2000   1425.5976    703.0000     50.1740
   10800.0000      1.0000      0.2000   1424.5051    703.0000     50.1106
   11000.0000      1.0000      0.2000   1423.6197    703.0000     50.0594
   11200.0000      1.0000      0.2000   1422.9004    703.0000     50.0179
   11400.0000      1.0000      0.2000   1422.3151    703.0000     49.9841
   11600.0000      1.0000      0.2000   1421.8380    703.0000     49.9566
   11800.0000      1.0000      0.2000   1421.4485    703.0000     49.9342
   12000.0000      1.0000      0.2000   1421.1300    703.0000     49.9159
   12200.0000      1.0000      0.2000   1420.8693    703.0000     49.9009
   12400.0000      1.0000      0.2000   1420.6556    703.0000     49.8887
   12600.0000      1.0000      0.2000   1420.4801    703.0000     49.8786
   12800.0000      1.0000      0.2000   1420.3359    703.0000     49.8703
   13000.0000      1.0000      0.2000   1420.2172    703.0000     49.8635
   13200.0000      1.0000      0.2000   1420.1194    703.0000     49.8579
   13400.0000      1.0000      0.2000   1420.0387    703.0000     49.8533
   13600.0000      1.0000      0.2000   1419.9721    703.0000     49.8494
   13800.0000      1.0000      0.2000   1419.9169    703.0000     49.8463
   14000.0000      1.0000      0.2000   1419.8712    703.0000     49.8437
   14200.0000      1.0000      0.2000   1419.8334    703.0000     49.8415
   14400.0000      1.0000      0.2000   1419.8019    703.0000     49.8397
   14600.0000      1.0000      0.2000   1419.7758    703.0000     49.8382
   14800.0000      1.0000      0.2000   1419.7540    703.0000     49.8369
   15000.0000      1.0000      0.2000   1419.7359    703.0000     49.8359
   15200.0000      1.0000      0.2000   1419.7208    703.0000     49.8350
   15400.0000      1.0000      0.2000   1419.7081    703.0000     49.8343
   15600.0000      1.0000      0.2000   1419.6975    703.0000     49.8337
   15800.0000      1.0000      0.2000   1419.6887    703.0000     49.8332
   16000.0000      1.0000      0.2000   1419.6813    703.0000     49.8328
   16200.0000      1.0000      0.2000   1419.6751    703.0000     49.8324
   16400.0000      1.0000      0.2000   1419.6698    703.0000     49.8321
   16600.0000      1.0000      0.2000   1419.6654    703.0000     49.8319
   16800.0000      1.0000      0.2000   1419.6617    703.0000     49.8316
   17000.0000      1.0000      0.2000   1419.6586    703.0000     49.8315
   17200.0000      1.0000      0.2000   1419.6560    703.0000     49.8313
   17400.0000      1.0000      0.2000   1419.6538    703.0000     49.8312
   17600.0000      1.0000      0.2000   1419.6519    703.0000     49.8311
   17800.0000      1.0000      0.2000   1419.6503    703.0000     49.8310
   18000.0000      1.0000      0.2000   1419.6490    703.0000     49.8309
   18200.0000      1.0000      0.2000   1419.6479    703.0000     49.8309
   18400.0000      1.0000      0.2000   1419.6469    703.0000     49.8308
                                                                         
                                                                         
 ========================================================================
